date,day,weather,student_count,event,food_prepared_kg,food_consumed_kg,waste_kg,meal_type,menu_complexity,crowd_density,cost_per_kg,total_food_cost,waste_cost
2023-01-17,Tuesday,Humid,392,Fest,205.35,186.74,18.61,Dinner,Medium,1.12,70.46739283368784,14470.479118397798,1311.3981806349307
2023-01-18,Wednesday,Rainy,409,Seminar,171.37,136.99,34.38,Dinner,Medium,1.1685714285714286,95.099893686612,16297.2687810747,3269.534344945721
2023-01-19,Thursday,Cloudy,265,Sports Day,137.63,119.62,18.01,Breakfast,Simple,0.7571428571428571,43.89555937164424,6041.345836319397,790.5590242833129
2023-01-20,Friday,Humid,248,Fest,100.74,94.34,6.4,Lunch,Medium,0.7085714285714285,81.33414560723702,8193.601828473056,520.538531886317
2023-01-21,Saturday,Humid,284,,131.54,119.82,11.72,Dinner,Simple,0.8114285714285714,94.87658292767729,12480.06571830667,1111.9535519123779
2023-01-22,Sunday,Sunny,360,Seminar,160.81,147.62,13.2,Breakfast,Medium,1.0285714285714285,44.544035193834574,7163.126299520538,587.9812645586163
2023-01-23,Monday,Cloudy,311,Sports Day,166.57,131.43,35.14,Lunch,Complex,0.8885714285714286,68.92355470186853,11480.596506690239,2421.97371222366
2023-01-24,Tuesday,Cloudy,283,Fest,157.25,140.48,16.77,Dinner,Simple,0.8085714285714286,106.12147945004513,16687.602643519596,1779.6572103772567
2023-01-25,Wednesday,Cloudy,336,Seminar,191.96,166.14,25.82,Dinner,Medium,0.96,77.93384325038865,14960.180550344605,2012.251832725035
2023-01-26,Thursday,Humid,320,Fest,148.28,111.46,36.82,Dinner,Medium,0.9142857142857143,86.21463943081672,12783.906734801503,3174.4230238426717
2023-01-27,Friday,Cloudy,377,Fest,163.52,149.96,13.55,Lunch,Complex,1.0771428571428572,81.3515480987272,13302.605145103873,1102.3134767377537
2023-01-28,Saturday,Humid,327,Sports Day,150.63,124.33,26.29,Dinner,Simple,0.9342857142857143,86.54298536311175,13035.969885245524,2275.215085196208
2023-01-29,Sunday,Sunny,380,Fest,220.57,194.98,25.59,Breakfast,Medium,1.0857142857142856,46.9000946009419,10344.753866129755,1200.173420838103
2023-01-30,Monday,Rainy,244,Seminar,121.73,114.22,7.5,Breakfast,Medium,0.6971428571428572,47.81797218757986,5820.881754394097,358.634791406849
2023-01-31,Tuesday,Rainy,165,,90.51,85.24,5.27,Dinner,Medium,0.4714285714285714,89.42167407026943,8093.555720100087,471.25222235031987
2023-02-01,Wednesday,Humid,289,Fest,170.51,139.76,30.75,Breakfast,Simple,0.8257142857142857,38.2143946442367,6515.936430788799,1175.0926353102784
2023-02-02,Thursday,Cloudy,242,Seminar,127.4,101.18,26.22,Lunch,Medium,0.6914285714285714,80.92258659994587,10309.537532833105,2121.7902206505805
2023-02-03,Friday,Rainy,246,,114.1,107.71,6.4,Breakfast,Simple,0.7028571428571428,38.50739463354732,4393.693727687749,246.44732565470287
2023-02-04,Saturday,Sunny,381,Fest,206.81,174.9,31.92,Lunch,Simple,1.0885714285714285,63.62070299501695,13157.397586399455,2030.772839600941
2023-02-05,Sunday,Cloudy,327,Sports Day,148.12,125.8,22.32,Breakfast,Medium,0.9342857142857143,49.21235781873461,7289.334440110971,1098.4198265141565
2023-02-06,Monday,Cloudy,318,Sports Day,153.2,133.21,19.99,Lunch,Simple,0.9085714285714286,62.990753646322545,9650.183458616613,1259.1851653899876
2023-02-07,Tuesday,Sunny,293,,128.03,113.34,14.7,Dinner,Simple,0.8371428571428572,77.29691554145165,9896.324096772056,1136.2646584593392
2023-02-08,Wednesday,Sunny,341,,156.59,136.62,19.97,Lunch,Complex,0.9742857142857143,86.44905017353395,13537.05676667368,1726.3875319654728
2023-02-09,Thursday,Humid,269,Fest,116.4,108.52,7.88,Breakfast,Complex,0.7685714285714286,39.01881301690422,4541.789835167651,307.46824657320525
2023-02-10,Friday,Rainy,313,,157.66,127.55,30.11,Breakfast,Simple,0.8942857142857142,40.27064631485963,6349.07009800077,1212.5491605404236
2023-02-11,Saturday,Cloudy,230,Sports Day,102.12,89.28,12.84,Breakfast,Complex,0.6571428571428571,39.99160039038538,4083.942231866155,513.4921490125482
2023-02-12,Sunday,Humid,369,Seminar,183.27,149.11,34.15,Breakfast,Complex,1.0542857142857143,46.8468687328517,8585.625632669733,1599.8205672268857
2023-02-13,Monday,Humid,330,Fest,187.05,162.65,24.4,Lunch,Simple,0.9428571428571428,61.01512506024184,11412.879142518237,1488.769051469901
2023-02-14,Tuesday,Rainy,296,Fest,148.54,123.49,25.05,Breakfast,Simple,0.8457142857142858,42.56106175757773,6322.020113470596,1066.1545970273223
2023-02-15,Wednesday,Rainy,297,Seminar,144.58,128.45,16.13,Breakfast,Simple,0.8485714285714285,47.45544073795405,6861.107621893397,765.4562591031988
2023-02-16,Thursday,Rainy,378,Seminar,172.14,161.96,10.18,Dinner,Medium,1.08,88.43855225726989,15223.812385566438,900.3044619790074
2023-02-17,Friday,Sunny,276,Fest,165.55,137.2,28.35,Dinner,Complex,0.7885714285714286,77.69672172991224,12862.692282386972,2202.7020610430122
2023-02-18,Saturday,Rainy,196,,96.08,74.3,21.77,Breakfast,Simple,0.56,36.96009228492806,3551.125666735888,804.6212090428838
2023-02-19,Sunday,Humid,227,,132.49,109.6,22.89,Lunch,Complex,0.6485714285714286,70.43292265765406,9331.657922912587,1612.2095996337014
2023-02-20,Monday,Sunny,323,Sports Day,161.76,152.72,9.04,Dinner,Medium,0.9228571428571428,88.4418294750565,14306.350335885138,799.5141384545107
2023-02-21,Tuesday,Rainy,297,Sports Day,126.54,117.5,9.04,Dinner,Complex,0.8485714285714285,76.16037234724418,9637.33351682028,688.4897660190873
2023-02-22,Wednesday,Rainy,254,Seminar,145.92,112.97,32.95,Dinner,Simple,0.7257142857142858,86.22664240735531,12582.191660081286,2841.167867322358
2023-02-23,Thursday,Cloudy,264,Fest,130.64,109.28,21.36,Dinner,Medium,0.7542857142857143,76.24503231433134,9960.651021544245,1628.5938902341175
2023-02-24,Friday,Cloudy,353,Sports Day,187.19,168.63,18.57,Breakfast,Simple,1.0085714285714287,37.34511624800103,6990.632310463312,693.498808725379
2023-02-25,Saturday,Humid,295,Fest,161.67,144.69,16.98,Lunch,Complex,0.8428571428571429,81.73537609548866,13214.158253357651,1387.8666861013976
2023-02-26,Sunday,Rainy,322,Seminar,192.62,178.1,14.52,Breakfast,Simple,0.92,38.09290970232872,7337.456266862558,553.1090488778129
2023-02-27,Monday,Sunny,328,Seminar,136.16,112.31,23.85,Lunch,Complex,0.9371428571428572,69.64498369501155,9482.860979912772,1661.0328611260254
2023-02-28,Tuesday,Humid,264,,120.89,101.98,18.91,Breakfast,Medium,0.7542857142857143,43.21536209658299,5224.305123855918,817.2024972463844
2023-03-01,Wednesday,Rainy,257,,142.92,118.56,24.36,Dinner,Simple,0.7342857142857143,73.50304427109829,10505.055087225366,1790.5341584439543
2023-03-02,Thursday,Sunny,345,Seminar,169.44,145.66,23.77,Lunch,Complex,0.9857142857142858,77.40156594979868,13114.921334533889,1839.8352226267145
2023-03-03,Friday,Humid,413,Fest,221.69,185.7,35.99,Breakfast,Medium,1.18,40.67780016597318,9017.861518794594,1463.9940279733748
2023-03-04,Saturday,Rainy,316,,187.63,142.12,45.5,Dinner,Simple,0.9028571428571428,88.56286459464096,16617.050283892484,4029.6103390561634
2023-03-05,Sunday,Cloudy,162,,82.75,74.37,8.38,Dinner,Simple,0.46285714285714286,92.47101623640887,7651.976593562834,774.9071160611064
2023-03-06,Monday,Rainy,211,Sports Day,111.8,91.92,19.88,Dinner,Simple,0.6028571428571429,80.04995504778755,8949.584974342648,1591.3931063500163
2023-03-07,Tuesday,Sunny,337,Fest,185.79,139.39,46.39,Dinner,Simple,0.9628571428571429,85.37097296171711,15861.073066557423,3960.359435694057
2023-03-08,Wednesday,Humid,282,,113.68,102.73,10.96,Dinner,Simple,0.8057142857142857,91.2908986818577,10377.949362153584,1000.5482495531604
2023-03-09,Thursday,Sunny,308,Seminar,162.42,122.05,40.37,Breakfast,Simple,0.88,38.456666364516416,6246.131750924756,1552.4956211355277
2023-03-10,Friday,Cloudy,243,Fest,101.61,88.19,13.42,Breakfast,Medium,0.6942857142857143,40.97334736530567,4163.301825788709,549.8623216424021
2023-03-11,Saturday,Rainy,206,Fest,84.6,78.75,5.85,Lunch,Simple,0.5885714285714285,87.82773069058034,7430.226016423097,513.792224539895
2023-03-12,Sunday,Rainy,325,Fest,142.2,107.32,34.88,Dinner,Medium,0.9285714285714286,74.27408821487107,10561.775344154665,2590.680196934703
2023-03-13,Monday,Sunny,418,Seminar,217.84,166.84,51.0,Lunch,Simple,1.1942857142857144,67.51163054718717,14706.733598399253,3443.0931579065455
2023-03-14,Tuesday,Cloudy,370,Seminar,220.67,182.55,38.12,Breakfast,Medium,1.0571428571428572,44.98156624363367,9926.082222982643,1714.6973052073154
2023-03-15,Wednesday,Humid,330,Sports Day,181.39,157.6,23.79,Lunch,Medium,0.9428571428571428,86.11747080198286,15620.84802877167,2048.7346303791724
2023-03-16,Thursday,Humid,265,Seminar,117.74,90.31,27.43,Lunch,Medium,0.7571428571428571,86.28897125181729,10159.663475188967,2366.9064814373482
2023-03-17,Friday,Rainy,366,Seminar,162.11,122.8,39.31,Lunch,Simple,1.0457142857142858,72.9410772649981,11824.478035428843,2867.3137472870753
2023-03-18,Saturday,Sunny,206,Fest,84.68,77.16,7.52,Dinner,Medium,0.5885714285714285,70.5042762234702,5970.302110603457,530.1921572004959
2023-03-19,Sunday,Sunny,346,Fest,162.6,123.87,38.73,Lunch,Complex,0.9885714285714285,85.42599253115247,13890.266385565392,3308.548690731535
2023-03-20,Monday,Rainy,267,Seminar,150.57,124.86,25.7,Lunch,Simple,0.7628571428571429,64.87076079809526,9767.590453369203,1667.178552511048
2023-03-21,Tuesday,Humid,400,Seminar,166.87,135.7,31.17,Lunch,Complex,1.1428571428571428,68.53488201917692,11436.415762540053,2136.232272537745
2023-03-22,Wednesday,Rainy,351,Sports Day,193.43,181.8,11.63,Breakfast,Complex,1.002857142857143,48.136734371650185,9311.088529508295,559.8302207422917
2023-03-23,Thursday,Sunny,333,Fest,138.07,107.51,30.56,Breakfast,Medium,0.9514285714285714,47.93955020071991,6619.013696213397,1465.0326541340003
2023-03-24,Friday,Sunny,264,Fest,147.5,125.29,22.21,Breakfast,Complex,0.7542857142857143,40.78843570502927,6016.294266491817,905.9111570087001
2023-03-25,Saturday,Cloudy,396,Sports Day,215.09,173.78,41.3,Lunch,Simple,1.1314285714285715,77.00051937558175,16562.04171249388,3180.121450211526
2023-03-26,Sunday,Rainy,351,Fest,158.87,146.52,12.35,Lunch,Complex,1.002857142857143,71.76477953798891,11401.2705252003,886.2950272941631
2023-03-27,Monday,Sunny,365,Sports Day,197.45,180.88,16.57,Lunch,Simple,1.042857142857143,88.7815580205056,17529.91863114883,1471.1104163997777
2023-03-28,Tuesday,Cloudy,378,Seminar,162.01,146.63,15.38,Breakfast,Simple,1.08,46.58522061879356,7547.271592450744,716.4806931170449
2023-03-29,Wednesday,Cloudy,375,Sports Day,210.62,189.67,20.95,Dinner,Medium,1.0714285714285714,77.53151979669701,16329.688699580325,1624.2853397408023
2023-03-30,Thursday,Rainy,301,Seminar,128.3,98.62,29.68,Breakfast,Medium,0.86,40.18871748620929,5156.212453480653,1192.8011349906917
2023-03-31,Friday,Rainy,169,,97.04,83.12,13.92,Lunch,Simple,0.4828571428571429,71.11322758427173,6900.827604777729,989.8961279730624
2023-04-01,Saturday,Sunny,279,Seminar,147.92,134.97,12.95,Lunch,Medium,0.7971428571428572,74.72079283971507,11052.699676850652,967.6342672743101
2023-04-02,Sunday,Sunny,181,,79.19,62.9,16.29,Lunch,Simple,0.5171428571428571,61.26952410283568,4851.933613703557,998.0805476351932
2023-04-03,Monday,Humid,204,,103.17,92.79,10.38,Dinner,Complex,0.5828571428571429,102.497041203212,10574.619740935383,1063.9192876893408
2023-04-04,Tuesday,Cloudy,277,Sports Day,137.64,113.14,24.5,Breakfast,Medium,0.7914285714285715,35.30126332619979,4858.8658842181385,864.8809514918948
2023-04-05,Wednesday,Cloudy,341,Seminar,190.95,171.64,19.3,Lunch,Medium,0.9742857142857143,86.25193150162686,16469.806320235646,1664.6622779813983
2023-04-06,Thursday,Humid,292,Sports Day,158.91,147.98,10.93,Lunch,Simple,0.8342857142857143,83.47136039186516,13264.433879871292,912.3419690830862
2023-04-07,Friday,Sunny,298,Fest,157.31,148.6,8.71,Lunch,Medium,0.8514285714285714,70.65804952816501,11115.217771275638,615.4316113903172
2023-04-08,Saturday,Rainy,228,Fest,131.38,107.53,23.84,Breakfast,Complex,0.6514285714285715,38.55944638864878,5065.9400665406765,919.2572019053869
2023-04-09,Sunday,Cloudy,246,Fest,120.23,109.1,11.13,Lunch,Medium,0.7028571428571428,89.48728094834594,10759.055788419633,995.9934369550904
2023-04-10,Monday,Humid,326,Fest,193.95,164.86,29.09,Lunch,Simple,0.9314285714285714,83.63660502252557,16221.319544118835,2432.988840105269
2023-04-11,Tuesday,Humid,363,Seminar,197.73,161.85,35.88,Lunch,Medium,1.0371428571428571,82.7582146518273,16363.781783105811,2969.364741707564
2023-04-12,Wednesday,Cloudy,299,Sports Day,140.58,118.22,22.36,Lunch,Medium,0.8542857142857143,70.97845520035526,9978.151232065942,1587.0782582799434
2023-04-13,Thursday,Sunny,289,,157.23,122.33,34.9,Breakfast,Medium,0.8257142857142857,39.70666337635575,6243.078682664414,1385.7625518348157
2023-04-14,Friday,Sunny,216,Fest,121.1,106.77,14.33,Dinner,Simple,0.6171428571428571,98.00040759320122,11867.849359536667,1404.3458408105735
2023-04-15,Saturday,Humid,200,Fest,118.55,92.07,26.48,Breakfast,Simple,0.5714285714285714,39.67025094584642,4702.9082496300925,1050.4682450460132
2023-04-16,Sunday,Cloudy,285,,123.84,112.6,11.24,Lunch,Complex,0.8142857142857143,66.70737045285061,8261.04075688102,749.7908438900408
2023-04-17,Monday,Humid,376,Sports Day,184.24,142.35,41.89,Dinner,Complex,1.0742857142857143,104.1636756749063,19191.115606344738,4363.416374021825
2023-04-18,Tuesday,Cloudy,312,,145.95,124.05,21.89,Lunch,Simple,0.8914285714285715,70.50623464406405,10290.384946301147,1543.3814763585622
2023-04-19,Wednesday,Sunny,288,Fest,161.57,140.08,21.49,Dinner,Medium,0.8228571428571428,97.81537268645852,15804.029764951101,2102.0523590319935
2023-04-20,Thursday,Sunny,377,Seminar,200.47,155.93,44.54,Lunch,Medium,1.0771428571428572,64.6448711263024,12959.357314689843,2879.282559965509
2023-04-21,Friday,Cloudy,284,Sports Day,134.62,102.29,32.33,Lunch,Simple,0.8114285714285714,88.55713851197426,11921.561986481975,2863.0522880921276
2023-04-22,Saturday,Cloudy,255,Seminar,130.15,100.97,29.18,Lunch,Complex,0.7285714285714285,77.53158802543325,10090.736181510138,2262.3717385821424
2023-04-23,Sunday,Cloudy,227,Seminar,117.18,110.38,6.79,Breakfast,Simple,0.6485714285714286,45.722537959198704,5357.766998058904,310.4560327429592
2023-04-24,Monday,Cloudy,152,,71.11,55.42,15.69,Breakfast,Complex,0.4342857142857143,39.835014937522104,2832.667912207197,625.0113843697218
2023-04-25,Tuesday,Sunny,341,Fest,154.99,126.14,28.84,Breakfast,Complex,0.9742857142857143,41.47250368532202,6427.82334618806,1196.067006284687
2023-04-26,Wednesday,Cloudy,336,Sports Day,150.46,125.29,25.17,Dinner,Simple,0.96,104.74852928171072,15760.463715726195,2636.520482020659
2023-04-27,Thursday,Humid,297,Seminar,163.27,129.53,33.73,Dinner,Complex,0.8485714285714285,106.62701088441973,17408.99206709921,3596.529077131477
2023-04-28,Friday,Sunny,350,Sports Day,143.18,110.56,32.62,Breakfast,Complex,1.0,38.72271917103791,5544.318930909208,1263.1350993592564
2023-04-29,Saturday,Rainy,303,Sports Day,162.69,143.97,18.71,Dinner,Simple,0.8657142857142858,71.23243607370117,11588.805024830443,1332.7588789389488
2023-04-30,Sunday,Rainy,403,Seminar,176.3,132.42,43.89,Dinner,Simple,1.1514285714285715,108.50600693367426,19129.609022406774,4762.328644318964
2023-05-01,Monday,Sunny,209,Sports Day,111.76,91.68,20.08,Breakfast,Simple,0.5971428571428572,45.782403547183506,5116.641420433229,919.3106632274447
2023-05-02,Tuesday,Cloudy,277,,132.9,114.88,18.02,Lunch,Simple,0.7914285714285715,85.36922644958112,11345.570195149332,1538.3534606214519
2023-05-03,Wednesday,Rainy,376,Sports Day,170.1,151.32,18.77,Breakfast,Simple,1.0742857142857143,49.95994090659009,8498.185948210974,937.748090816696
2023-05-04,Thursday,Humid,306,,160.31,141.53,18.78,Dinner,Complex,0.8742857142857143,102.90844052253365,16497.25210016737,1932.620513013182
2023-05-05,Friday,Cloudy,289,Fest,124.62,109.14,15.48,Breakfast,Medium,0.8257142857142857,49.0975675714256,6118.538870751058,760.0303460056683
2023-05-06,Saturday,Rainy,364,Seminar,168.45,138.52,29.94,Dinner,Simple,1.04,88.42680799250601,14895.495806337636,2647.4986312956303
2023-05-07,Sunday,Sunny,377,Seminar,199.63,183.46,16.17,Breakfast,Medium,1.0771428571428572,44.801071920791635,8943.637987547634,724.4333329592008
2023-05-08,Monday,Rainy,320,,151.52,114.59,36.93,Lunch,Complex,0.9142857142857143,84.83850984817244,12854.731012195089,3133.086168693008
2023-05-09,Tuesday,Rainy,360,Seminar,149.6,137.66,11.95,Dinner,Complex,1.0285714285714285,72.33050445094464,10820.643465861318,864.3495281887884
2023-05-10,Wednesday,Cloudy,346,Sports Day,162.74,130.37,32.37,Breakfast,Simple,0.9885714285714285,36.72697283746353,5976.9475595688145,1188.8521107486943
2023-05-11,Thursday,Humid,273,Fest,155.73,141.41,14.32,Dinner,Complex,0.78,74.21682488704974,11557.786139660255,1062.7849323825524
2023-05-12,Friday,Humid,360,Fest,183.26,144.91,38.34,Breakfast,Complex,1.0285714285714285,49.74336735706058,9115.969501854921,1907.1607044697028
2023-05-13,Saturday,Sunny,166,,90.64,85.14,5.5,Lunch,Simple,0.4742857142857143,87.25495276851888,7908.788918938551,479.9022402268538
2023-05-14,Sunday,Humid,309,Sports Day,162.8,124.96,37.84,Dinner,Complex,0.8828571428571429,102.71010036033246,16721.204338662126,3886.5501976349806
2023-05-15,Monday,Cloudy,353,Sports Day,182.57,142.17,40.4,Lunch,Simple,1.0085714285714287,60.9612233037362,11129.690538563118,2462.833421470942
2023-05-16,Tuesday,Sunny,365,Fest,146.01,132.4,13.61,Dinner,Simple,1.042857142857143,104.19649890266709,15213.73080477842,1418.114350065299
2023-05-17,Wednesday,Cloudy,373,Sports Day,203.7,179.65,24.05,Breakfast,Complex,1.0657142857142856,49.30204302566632,10042.82616432823,1185.714134767275
2023-05-18,Thursday,Cloudy,353,Sports Day,172.62,156.51,16.11,Breakfast,Simple,1.0085714285714287,43.115044150968465,7442.518921340176,694.5833612721019
2023-05-19,Friday,Sunny,193,Seminar,77.78,70.94,6.85,Dinner,Simple,0.5514285714285714,81.16374985251481,6312.916463528602,555.9716864897264
2023-05-20,Saturday,Humid,331,Fest,152.31,125.76,26.55,Breakfast,Medium,0.9457142857142857,38.322099176366734,5836.838925552417,1017.4517331325368
2023-05-21,Sunday,Humid,280,Sports Day,138.07,105.82,32.25,Breakfast,Simple,0.8,37.2991712310066,5149.896571865082,1202.898272199963
2023-05-22,Monday,Cloudy,258,,151.25,121.55,29.69,Lunch,Medium,0.7371428571428571,86.38930384054797,13066.38220588288,2564.8984310258693
2023-05-23,Tuesday,Cloudy,271,Sports Day,116.46,89.14,27.32,Lunch,Complex,0.7742857142857142,65.06061631618269,7576.959376182635,1777.456037758111
2023-05-24,Wednesday,Rainy,366,Fest,192.84,178.75,14.09,Breakfast,Medium,1.0457142857142858,45.551037483117234,8784.062068244328,641.8141181371218
2023-05-25,Thursday,Cloudy,398,Seminar,207.79,186.08,21.72,Lunch,Simple,1.1371428571428572,71.701021753338,14898.755310126102,1557.3461924825012
2023-05-26,Friday,Cloudy,258,Sports Day,118.02,99.21,18.81,Breakfast,Complex,0.7371428571428571,46.721136525628204,5514.028532754641,878.8245780470664
2023-05-27,Saturday,Humid,321,Fest,168.9,131.11,37.79,Dinner,Medium,0.9171428571428571,76.1702270592115,12865.151350300823,2878.4728805676023
2023-05-28,Sunday,Sunny,275,Fest,157.25,131.06,26.19,Dinner,Medium,0.7857142857142857,83.76536795563442,13172.104111023513,2193.8149867580655
2023-05-29,Monday,Sunny,381,Sports Day,163.53,148.6,14.94,Lunch,Simple,1.0885714285714285,71.87018827472556,11752.931888565872,1073.7406128244
2023-05-30,Tuesday,Sunny,291,,151.41,120.13,31.28,Lunch,Simple,0.8314285714285714,74.33026950582595,11254.346105877108,2325.050830142236
2023-05-31,Wednesday,Sunny,282,Seminar,144.4,132.17,12.23,Dinner,Medium,0.8057142857142857,75.79199794343694,10944.364503032295,926.9361348482338
2023-06-01,Thursday,Sunny,396,Seminar,206.24,165.99,40.25,Breakfast,Medium,1.1314285714285715,37.59309154293358,7753.199199814621,1513.1219346030766
2023-06-02,Friday,Humid,292,Seminar,164.55,124.99,39.56,Dinner,Complex,0.8342857142857143,102.57610981218181,16878.89886959452,4057.9109041699126
2023-06-03,Saturday,Sunny,373,Fest,197.44,186.29,11.15,Breakfast,Medium,1.0657142857142856,37.16255674676189,7337.375204080667,414.36250772639505
2023-06-04,Sunday,Humid,195,,114.53,96.09,18.43,Dinner,Complex,0.5571428571428572,74.84655863343069,8572.176360286818,1379.4220756141276
2023-06-05,Monday,Cloudy,258,Sports Day,137.4,108.53,28.87,Dinner,Medium,0.7371428571428571,76.42915931870606,10501.366490390212,2206.509829531044
2023-06-06,Tuesday,Rainy,287,Seminar,170.0,159.77,10.23,Breakfast,Medium,0.82,36.12476969638758,6141.210848385889,369.556393994045
2023-06-07,Wednesday,Humid,348,Sports Day,164.45,138.98,25.47,Lunch,Simple,0.9942857142857143,70.6648962717297,11620.84219188595,1799.8349080409555
2023-06-08,Thursday,Rainy,373,Sports Day,209.05,159.61,49.44,Breakfast,Medium,1.0657142857142856,45.144924705659896,9437.546509718202,2231.965077447825
2023-06-09,Friday,Rainy,362,Sports Day,163.1,153.18,9.92,Breakfast,Complex,1.0342857142857143,45.533517227289195,7426.516659770868,451.69249089470884
2023-06-10,Saturday,Sunny,351,Sports Day,186.48,146.31,40.17,Breakfast,Complex,1.002857142857143,47.20552726289364,8802.886723984406,1896.2460301504375
2023-06-11,Sunday,Cloudy,410,Fest,175.16,146.26,28.89,Dinner,Simple,1.1714285714285715,73.4285580657989,12861.746230805335,2121.35104252093
2023-06-12,Monday,Cloudy,209,,94.17,73.39,20.77,Lunch,Medium,0.5971428571428572,66.06162378294265,6221.023111639709,1372.0999259717187
2023-06-13,Tuesday,Cloudy,405,Seminar,181.53,145.53,36.0,Breakfast,Simple,1.1571428571428573,40.5626482022779,7363.337528159507,1460.2553352820044
2023-06-14,Wednesday,Rainy,395,Fest,206.71,175.13,31.58,Lunch,Simple,1.1285714285714286,87.95011439936233,18180.16814749219,2777.4646127318624
2023-06-15,Thursday,Sunny,310,Seminar,141.41,133.25,8.16,Lunch,Simple,0.8857142857142857,68.42354433672845,9675.773404656771,558.3361217877042
2023-06-16,Friday,Humid,181,,90.74,80.99,9.75,Lunch,Complex,0.5171428571428571,85.98820935958935,7802.570117289137,838.3850412559962
2023-06-17,Saturday,Humid,219,,129.9,105.64,24.26,Lunch,Medium,0.6257142857142857,68.66403501994813,8919.458149091262,1665.7894895839418
2023-06-18,Sunday,Humid,332,Seminar,140.95,108.51,32.44,Breakfast,Medium,0.9485714285714286,48.018404792791486,6768.19415554396,1557.7170514781558
2023-06-19,Monday,Sunny,394,Sports Day,235.97,187.42,48.55,Lunch,Medium,1.1257142857142857,61.37597776601312,14482.889473446116,2979.803720539937
2023-06-20,Tuesday,Humid,373,Sports Day,193.27,146.05,47.22,Breakfast,Simple,1.0657142857142856,46.336868309963116,8955.526538266571,2188.026921596458
2023-06-21,Wednesday,Rainy,276,Sports Day,128.29,105.42,22.86,Lunch,Complex,0.7885714285714286,61.49679469830986,7889.423791846172,1405.8167268033635
2023-06-22,Thursday,Humid,203,,92.39,70.34,22.05,Lunch,Simple,0.58,86.46179648551619,7988.205377296841,1906.482612505632
2023-06-23,Friday,Humid,290,Sports Day,153.25,140.71,12.53,Lunch,Complex,0.8285714285714286,86.34816077537576,13232.855638826335,1081.9424545154582
2023-06-24,Saturday,Cloudy,280,Seminar,154.74,136.3,18.44,Dinner,Complex,0.8,107.12227288812186,16576.10050670798,1975.3347120569672
2023-06-25,Sunday,Humid,232,,138.21,120.39,17.82,Lunch,Complex,0.6628571428571428,69.97651676466472,9671.454382044312,1246.9815287463255
2023-06-26,Monday,Sunny,324,,181.29,154.31,26.98,Dinner,Simple,0.9257142857142857,103.90135538665655,18836.276718046964,2803.2585683319935
2023-06-27,Tuesday,Cloudy,278,Seminar,146.36,114.96,31.4,Lunch,Medium,0.7942857142857143,79.62917684219282,11654.526322623342,2500.3561528448545
