date,day,weather,student_count,event,food_prepared_kg,food_consumed_kg,waste_kg,meal_type
2023-09-10,Sunday,Humid,281,Fest,148.11,127.07,21.04,Breakfast
2023-09-11,Monday,Rainy,334,None,152.35,116.52,35.83,Breakfast
2023-09-12,Tuesday,Sunny,250,None,131.99,114.26,17.72,Lunch
2023-09-13,Wednesday,Rainy,235,Sports Day,130.41,116.64,13.77,Dinner
2023-09-14,Thursday,Humid,186,None,98.54,90.6,7.95,Lunch
2023-09-15,Friday,Humid,231,Fest,114.43,108.66,5.78,Dinner
2023-09-16,Saturday,Humid,202,Fest,84.94,66.5,18.43,Dinner
2023-09-17,Sunday,Sunny,349,Fest,200.46,163.85,36.61,Dinner
2023-09-18,Monday,Humid,190,Fest,86.22,81.0,5.23,Breakfast
2023-09-19,Tuesday,Cloudy,282,Fest,156.25,142.12,14.13,Breakfast
2023-09-20,Wednesday,Humid,205,Sports Day,114.98,107.47,7.51,Dinner
2023-09-21,Thursday,Rainy,374,Sports Day,223.35,185.19,38.16,Breakfast
2023-09-22,Friday,Humid,231,Seminar,104.12,98.3,5.82,Lunch
2023-09-23,Saturday,Humid,351,Seminar,150.4,123.26,27.13,Dinner
2023-09-24,Sunday,Sunny,266,None,114.07,93.52,20.55,Breakfast
2023-09-25,Monday,Humid,257,Fest,121.86,106.03,15.82,Breakfast
2023-09-26,Tuesday,Rainy,239,None,142.03,109.72,32.31,Lunch
2023-09-27,Wednesday,Cloudy,303,Fest,126.74,108.4,18.35,Dinner
2023-09-28,Thursday,Humid,238,None,116.48,98.54,17.94,Breakfast
2023-09-29,Friday,Rainy,213,None,123.05,104.56,18.48,Breakfast
2023-09-30,Saturday,Rainy,375,Seminar,182.5,137.15,45.34,Dinner
2023-10-01,Sunday,Humid,208,Sports Day,109.28,88.15,21.13,Lunch
2023-10-02,Monday,Humid,188,None,108.15,95.04,13.11,Lunch
2023-10-03,Tuesday,Humid,181,None,94.54,78.82,15.71,Dinner
2023-10-04,Wednesday,Cloudy,307,Seminar,172.74,138.71,34.03,Dinner
2023-10-05,Thursday,Cloudy,373,Seminar,221.1,193.27,27.83,Breakfast
2023-10-06,Friday,Rainy,326,Sports Day,178.27,134.28,43.99,Lunch
2023-10-07,Saturday,Cloudy,269,Sports Day,119.37,91.32,28.04,Dinner
2023-10-08,Sunday,Cloudy,284,Fest,149.83,119.29,30.54,Dinner
2023-10-09,Monday,Rainy,385,Seminar,211.56,176.51,35.06,Lunch
2023-10-10,Tuesday,Sunny,379,Seminar,216.44,193.41,23.03,Dinner
2023-10-11,Wednesday,Rainy,293,Seminar,170.25,133.27,36.98,Dinner
2023-10-12,Thursday,Humid,219,Fest,91.78,79.76,12.02,Breakfast
2023-10-13,Friday,Humid,310,Sports Day,184.82,169.3,15.51,Dinner
2023-10-14,Saturday,Humid,346,Fest,192.78,176.78,16.0,Lunch
2023-10-15,Sunday,Humid,246,None,100.61,76.63,23.98,Breakfast
2023-10-16,Monday,Rainy,286,Fest,122.9,108.19,14.71,Dinner
2023-10-17,Tuesday,Humid,355,Fest,158.21,130.85,27.36,Breakfast
2023-10-18,Wednesday,Rainy,226,Sports Day,119.26,92.15,27.1,Breakfast
2023-10-19,Thursday,Sunny,364,Sports Day,197.09,185.68,11.41,Dinner
2023-10-20,Friday,Humid,246,Seminar,119.57,92.85,26.71,Dinner
2023-10-21,Saturday,Humid,283,Fest,157.8,141.12,16.68,Breakfast
2023-10-22,Sunday,Cloudy,337,None,153.56,119.18,34.38,Dinner
2023-10-23,Monday,Rainy,243,Sports Day,139.07,105.8,33.27,Lunch
2023-10-24,Tuesday,Rainy,383,Fest,195.76,165.24,30.52,Dinner
2023-10-25,Wednesday,Rainy,237,Seminar,119.03,91.22,27.81,Breakfast
2023-10-26,Thursday,Rainy,411,Sports Day,177.2,147.9,29.3,Breakfast
2023-10-27,Friday,Rainy,316,None,139.56,105.55,34.01,Lunch
2023-10-28,Saturday,Humid,218,Sports Day,121.1,103.29,17.8,Dinner
2023-10-29,Sunday,Sunny,212,Seminar,102.52,79.85,22.68,Breakfast
2023-10-30,Monday,Humid,331,Seminar,157.87,127.61,30.26,Dinner
2023-10-31,Tuesday,Sunny,400,Seminar,195.18,168.12,27.07,Dinner
2023-11-01,Wednesday,Sunny,261,Seminar,125.37,94.32,31.05,Dinner
2023-11-02,Thursday,Sunny,236,Seminar,106.21,95.21,10.99,Dinner
2023-11-03,Friday,Cloudy,270,Seminar,144.97,129.01,15.96,Breakfast
2023-11-04,Saturday,Humid,240,Sports Day,120.83,103.72,17.11,Dinner
2023-11-05,Sunday,Cloudy,172,None,74.85,62.07,12.78,Lunch
2023-11-06,Monday,Rainy,261,Sports Day,143.96,118.01,25.95,Dinner
2023-11-07,Tuesday,Rainy,191,None,114.35,104.74,9.6,Breakfast
2023-11-08,Wednesday,Rainy,397,Fest,205.15,167.56,37.59,Dinner
2023-11-09,Thursday,Cloudy,247,Fest,124.43,101.19,23.24,Lunch
2023-11-10,Friday,Cloudy,350,Sports Day,145.0,128.96,16.03,Dinner
2023-11-11,Saturday,Humid,321,None,190.52,147.52,43.0,Breakfast
2023-11-12,Sunday,Humid,244,Fest,137.04,129.21,7.83,Breakfast
2023-11-13,Monday,Rainy,338,Seminar,146.78,137.01,9.77,Breakfast
2023-11-14,Tuesday,Humid,296,Seminar,126.32,113.41,12.91,Dinner
2023-11-15,Wednesday,Sunny,309,Fest,133.06,115.38,17.68,Breakfast
2023-11-16,Thursday,Humid,370,Sports Day,215.06,161.97,53.09,Lunch
2023-11-17,Friday,Humid,218,None,104.77,80.95,23.83,Breakfast
2023-11-18,Saturday,Cloudy,277,Seminar,139.75,131.98,7.77,Lunch
2023-11-19,Sunday,Humid,343,Fest,162.19,129.57,32.62,Dinner
2023-11-20,Monday,Sunny,279,Fest,127.53,107.84,19.68,Lunch
2023-11-21,Tuesday,Rainy,338,Sports Day,186.61,141.92,44.69,Lunch
2023-11-22,Wednesday,Cloudy,306,None,133.6,100.27,33.33,Dinner
2023-11-23,Thursday,Cloudy,335,None,144.07,127.01,17.05,Breakfast
2023-11-24,Friday,Sunny,232,None,124.36,102.77,21.6,Dinner
2023-11-25,Saturday,Humid,330,Fest,140.31,130.0,10.31,Dinner
2023-11-26,Sunday,Cloudy,367,Fest,160.49,140.5,19.99,Breakfast
2023-11-27,Monday,Humid,272,Fest,128.66,108.5,20.16,Lunch
2023-11-28,Tuesday,Sunny,376,Fest,177.66,161.21,16.45,Dinner
2023-11-29,Wednesday,Cloudy,249,Seminar,120.94,111.7,9.24,Dinner
2023-11-30,Thursday,Cloudy,285,Seminar,156.51,125.95,30.56,Breakfast
2023-12-01,Friday,Sunny,362,Seminar,208.61,163.03,45.57,Dinner
2023-12-02,Saturday,Sunny,206,Fest,111.9,102.13,9.77,Lunch
2023-12-03,Sunday,Humid,392,Fest,227.91,210.95,16.95,Breakfast
2023-12-04,Monday,Cloudy,214,None,117.56,102.99,14.57,Lunch
2023-12-05,Tuesday,Rainy,269,Sports Day,116.14,93.21,22.93,Breakfast
2023-12-06,Wednesday,Cloudy,263,Fest,149.78,120.31,29.48,Breakfast
2023-12-07,Thursday,Rainy,299,Fest,154.23,140.52,13.71,Dinner
2023-12-08,Friday,Humid,283,Sports Day,121.61,107.73,13.88,Lunch
